 অ  |আদ্যস্বর ;  বর্ণমালার প্রথম বর্ণ ; অভাব ;  অসুখ ; অবোধ ;  অকাল ; অব্রাহ্মণ ; অধর্ম
 অংশ  |/বিশেষ্য পদ/ ভাগ, খন্ড, টুকরা। কিছু পরিমাণ স্বত্ব। /অনশ্‌+ঘঞ/।
 অংশাংশি  |/বিশেষ্য পদ/ যথাযথ ভাগকরণ ভাগাভাগি।
 অংশান  |/ক্রিয়া পদ/ উত্তরাধিকার সূত্রে ভাগ বর্তান।
 অংশু  |/বিশেষ্য পদ/ রশ্মি কিরণ, সূক্ষ্ণ তন্তু, আঁশ। /অনশ্‌+উ/। অংশুক- সূক্ষ্ণ বস্ত্র। অংশুমালী- সূর্য। অংশুমান্‌- কিরণযুক্ত, দীপ্তিময়। স্ত্রীলিঙ্গ. অংশুমতী।
 অংশ২  |অংস এর বানানভেদ। অংস-স্কন্ধ।
 অই  |ঐ এর বানানভেদ।
 অঋণী  |/বিশেষণ পদ/ দেনাশূন্য, কাহারও কিছু ধারে না এমন।
 অকটু  |/বিশেষণ পদ/ কটুস্বাদশূন্য।
 অকণ্টক  |/বিশেষণ পদ/ নিষ্কণ্টক। কাঁটা নাই যাহাতে।
 অকথন  |/বিশেষ্য পদ/ কুকথা।
 অকথা  |/বিশেষ্য পদ/ কুকথা, অশ্লীলকথা।
 অকথিত  |/বিশেষণ পদ/ অনুচ্চারিত, অনুক্ত, যাহা বলা হয় নাই।
 অকথ্য  |/বিশেষণ পদ/ অবক্তব্য, যাহা বলা উচিত নহে।
 অকপট  |/বিশেষণ পদ/ সরল, কপটতাশূন্য। /বিশেষ্য পদ/ অকপটতা। অকপটচিত্ত- সরল-হৃদয়।
 অকমর্ণ্য  |/বিশেষণ পদ/ কাজের অযোগ্য, অকেজো।
 অকম্পিত  |/বিশেষণ পদ/ নিশ্চল, কম্পনশূন্য, স্থির, অবিচলিত।
 অকরণ  |/বিশেষ্য পদ/ অকর্তব্য, নিন্দনীয় কার্য নিষ্ক্রিয়তা।
 অকরণীয়  |/বিশেষ্য পদ/ অকর্তব্য, নিন্দনীয় কার্য নিষ্ক্রিয়তা।
 অকরুণ  |/বিশেষণ পদ/ নিষ্ঠুর, নির্দয় করুণাহীন।
 অকর্ণ  |/বিশেষণ পদ/ কর্ণহীন, বধির।
 অকর্তব্য  |/বিশেষণ পদ/ অকরণীয়, নিন্দনীয় কার্য, যাহা করা উচিত নহে।
 অকর্তা  |/বিশেষ্য পদ/ ক্রিয়াহীন ব্যক্তি। /বিশেষণ পদ/ অপ্রধান।
