letter,words
অ,"['অ', 'অংশ', 'অংশ', 'অংশাংশি', 'অংশান', 'অংশিন্', 'অংশু', 'অংশ২', 'অই', 'অঋণী', 'অকটু', 'অকণ্টক', 'অকথন', 'অকথা', 'অকথিত', 'অকথ্য', 'অকপট', 'অকমর্ণ্য', 'অকম্পিত', 'অকরণ', 'অকরণীয়', 'অকরুণ', 'অকর্ণ', 'অকর্তব্য', 'অকর্তা', 'অকর্ম', 'অকলঙ্ক', 'অকলঙ্কিত', 'অকলঙ্কী', 'অকলুষ', 'অকল্প', 'অকল্পিত', 'অকল্যাণ', 'অকস্মাৎ', 'অকাজ', 'অকাট', 'অকাট্য', 'অকাতর', 'অকাম', 'অকার', 'অকারণ', 'অকারন্ত', 'অকার্য', 'অকাল', 'অকাল কুষ্মাণ্ড', 'অকালজাত', 'অকালপক্ক', 'অকালবৃদ্ধ', 'অকালবোধন', 'অকালমৃতু্য', 'অকালী', 'অকায়', 'অকিঞ্চন', 'অকিঞ্চিৎ', 'অকিল্মিষ', 'অকীক', 'অকীর্তি', 'অকীর্তিকর', 'অকীর্তিত', 'অকু', 'অকুণ্ঠ', 'অকুতোভয়', 'অকুমার', 'অকুল', 'অকুলন', 'অকুলীন', 'অকুশল', 'অকুস্থল', 'অকূল', 'অকূল পাথার', 'অকূলে কূল পাওয়া', 'অকূলে ভাসা', 'অকৃত', 'অকৃতকার্য', 'অকৃতজ্ঞ', 'অকৃতদার', 'অকৃতার্থ', 'অকৃতি', 'অকৃতিত্ব', 'অকৃতী']"
আ,"['আ', 'আ', 'আঁইষ', 'আঁক', 'আঁকন', 'আঁকশি', 'আঁকা', 'আঁকান', 'আঁকাবাঁকা', 'আঁকুপাঁকু', 'আঁকুশি', 'আঁকড়া', 'আঁকড়া-আঁকড়ি', 'আঁকড়ান', 'আঁকড়ি', 'আঁখ', 'আঁখর', 'আঁখিজল', 'আঁখিঠার', 'আঁচ', 'আঁচন', 'আঁচল', 'আঁচলধরা', 'আঁচা', 'আঁচিল', 'আঁচড়', 'আঁচড়া-আঁচড়ি', 'আঁচড়ান', 'আঁচ২', 'আঁজনাই', 'আঁজলা', 'আঁট', 'আঁটকুড়', 'আঁটকুড়ী', 'আঁটনি', 'আঁটা', 'আঁটাআঁটি', 'আঁটি', 'আঁটি-সাঁটি', 'আঁটি২', 'আঁটুবাঁটু', 'আঁত', 'আঁত-আঁতড়ি', 'আঁতকান', 'আঁতাত', 'আঁতুড়', 'আঁদিসাদি', 'আঁধলা', 'আঁধার', 'আঁধি', 'আঁব', 'আঁবুই', 'আঁশ', 'আঁশ, আঁইশ', 'আঁশফল', 'আঁশান', 'আঁশাল', 'আঁষ', 'আঁষটে', 'আঁস্তাকুড়', 'আংটা', 'আংটি', 'আংরা', 'আংরাখা', 'আংশিক', 'আঃ', 'আই-আই', 'আই-বড়', 'আইও', 'আইচ', 'আইডিন', 'আইঢাই', 'আইন', 'আইন পাশ করা', 'আইন মতে', 'আইন-কানুন', 'আইন-কানুন', 'আইনজীবি', 'আইনত', 'আইবড়-ভাত']"
ই,"['ই', 'ই', 'ইঁচড় (ই-), এঁচড়', 'ইঁচড়ে পাকা', 'ইঁট', 'ইঁদারা, ইন্দারা', 'ইঁদুর, ইন্দুর', 'ইংরাজ, ইংরাজী২, ইংরেজ৩, ইংরেজী৪', 'ইংরেজিয়ানা', 'ইংলিশ', 'ইংলিশম্যান', 'ইঃ', 'ইউনানী, য়ুনানী', 'ইউনিয়ান', 'ইউরেশীয়, ইউরেশিয়ান', 'ইউরোপ', 'ইউরোপীয়, য়ুরোপীয়', 'ইক্ষু', 'ইক্ষুদন্ড', 'ইক্ষ্বাকু', 'ইঙ্গবঙ্গ', 'ইঙ্গিত', 'ইঙ্গুদ তৈল, ইঙ্গুদী তৈল', 'ইঙ্গুদ, ইঙ্গুদী', 'ইচ্ছা', 'ইচ্ছাপত্র', 'ইচ্ছাবসন্ত', 'ইচ্ছামৃতু্য', 'ইচ্ছাময়', 'ইচ্ছাময়ী', 'ইচ্ছিত', 'ইচ্ছু, ইচ্ছুক', 'ইজার', 'ইজারা', 'ইজারাদার', 'ইজ্জত, ইজ্জৎ', 'ইঞ্চি', 'ইঞ্জিন, এঞ্জিন', 'ইঞ্জিনিয়ার (এ-)', 'ইঞ্জিনিয়ারিং', 'ইট', 'ইট-পাটকেল', 'ইটখোলা', 'ইতঃপূর্বে', 'ইতর', 'ইতর ভাষা', 'ইতরবিশেষ', 'ইতরাম, ইতরামি, ইতরামো', 'ইতরেতর', 'ইতস্তত= করা', 'ইতস্ততঃ, ইতস্তত', 'ইতি', 'ইতি-উতি', 'ইতিকথা', 'ইতিকর্তব্য', 'ইতিপূর্বে', 'ইতিবৃত্ত', 'ইতিমধ্যে', 'ইতিহাস', 'ইতু', 'ইতুপূজা', 'ইতোমধ্যে, ইত্যবসরে', 'ইত্যনুসারে', 'ইত্যাকার', 'ইত্যাদি', 'ইথর, ঈথর, ইথার', 'ইথে', 'ইদানিং', 'ইদানিন্তন', 'ইনকাম্', 'ইনকাম্ ট্যাক্স', 'ইনকার', 'ইনসলভেন্ট', 'ইনসাফ', 'ইনামেল (এ-)', 'ইনি', 'ইনিয়ে-বিনিয়ে', 'ইন্তেকাল, এন্তেকাল', 'ইন্তেজাম, এন্তেজাম', 'ইন্তেজার, এন্তেজার']"
ঈ,"['ঈ', 'ঈকারান্ত', 'ঈক্ষণ', 'ঈক্ষিত', 'ঈগল', 'ঈথর', 'ঈদ', 'ঈদগা, ঈদগাহ্', 'ঈদৃক, ঈদৃশ', 'ঈপ্সা', 'ঈপ্সিত', 'ঈপ্সু', 'ঈর্ষা, ঈর্ষ্যা', 'ঈর্ষান্বিত, ঈর্ষী', 'ঈশ', 'ঈশান', 'ঈশানী', 'ঈশা২, ঈসা', 'ঈশ্বর', 'ঈশ্বরদ্বেষী', 'ঈশ্বরবাদ', 'ঈশ্বরাধীন', 'ঈষ', 'ঈষদুচ্চ', 'ঈষদুষ্ণ', 'ঈষদূন', 'ঈষা', 'ঈষিকা, ঈষীকা', 'ঈষ্য']"
উ,"['উ', 'উঁকি দেওয়া, উঁকিমারা', 'উঁকি, উকি', 'উঁকিঝুঁকি, উকিঝুঁকি', 'উঁচকপালী', 'উঁচকপালে', 'উঁচা, উঁচু', 'উঁচান, উঁচানো, উঁচন, উঁচনো', 'উঁচানিচা, উঁচানীচা, উঁচুনিচু, উঁচুনীচু', 'উঁহুঁ', 'উঃ', 'উই', 'উইচারা, উইঢিপি, উইঢিবি', 'উইধরা, উইলাগা', 'উইল', 'উকা', 'উকি', 'উকিল, উকীল', 'উকিলী', 'উকি২', 'উকুণ, উকুন', 'উক্ত', 'উখল, উখলি', 'উখা', 'উখা২, উকা, উকো', 'উখড়ন, উখড়নো, উখড়ান, উখড়ানো', 'উগরন, উগরনো, উগরোন, উগরানো', 'উগ্র', 'উগ্রকণ্ঠ, উগ্রস্বর', 'উগ্রকর্মা', 'উগ্রক্ষত্রিয়', 'উগ্রচন্ডা, উগ্রচন্ডী', 'উগ্রপ্রকৃতি, উগ্রস্বভাব', 'উগ্রবীর্য', 'উগ্রমূর্তি', 'উগ্রা', 'উচক্কা', 'উচল', 'উচা, উচান, উচানো', 'উচাটন', 'উচাটন', 'উচিত', 'উচিত বক্তা', 'উচ্চ', 'উচ্চকিত', 'উচ্চনীচ', 'উচ্চবাচ্য', 'উচ্চভাষী', 'উচ্চাটন', 'উচ্চাবচ', 'উচ্চার', 'উচ্চারণ', 'উচ্চারণীয়, উচ্চার্য', 'উচ্চারিত', 'উচ্চার্যমান', 'উচ্চিংড়া, উইচিংড়া', 'উচ্চৈঃ', 'উচ্চৈঃশ্যবা', 'উচ্চৈঃস্বর', 'উচ্চয়, উচ্চায়', 'উচ্ছন্ন', 'উচ্ছল', 'উচ্ছলন', 'উচ্ছলিত', 'উচ্ছিত্তি', 'উচ্ছিদ্যমান', 'উচ্ছিন্ন', 'উচ্ছিষ্ট', 'উচ্ছিষ্টভোজী', 'উচ্ছিষ্টান্ন', 'উচ্ছৃঙ্খল', 'উচ্ছে', 'উচ্ছেদ', 'উচ্ছেদন', 'উচ্ছেদ্য', 'উচ্ছোষণ', 'উচ্ছ্বসিত', 'উচ্ছ্বাস', 'উচ্ছ্বাসন', 'উচ্ছ্রিত']"
ঊ,"['ঊ', 'ঊঃ', 'ঊকার', 'ঊখলি', 'ঊতি', 'ঊন', 'ঊনজন', 'ঊনিশ', 'ঊরা, উরা', 'ঊরু', 'ঊরুপা', 'ঊরুস্তম্ভ', 'ঊর্জ', 'ঊর্জিত', 'ঊর্ণ', 'ঊর্ণনাভ', 'ঊর্ণা', 'ঊর্দি', 'ঊর্দু', 'ঊর্ধ্ব', 'ঊর্ধ্বগ, ঊর্ধ্বগামী', 'ঊর্ধ্বচারী', 'ঊর্ধ্বতন', 'ঊর্ধ্বদৃষ্টি, ঊর্ধ্বনেত্র', 'ঊর্ধ্বদেহ', 'ঊর্ধ্বপাতন', 'ঊর্ধ্ববাহু', 'ঊর্ধ্বমুখ', 'ঊর্ধ্বরেতা, ঊর্ধ্বরেতাঃ', 'ঊর্ধ্বলিঙ্গ', 'ঊর্ধ্বলোক', 'ঊর্ধ্বশায়ী', 'ঊর্ধ্বাবর্ত', 'ঊর্বর', 'ঊর্বস্থি', 'ঊর্মি', 'ঊর্মিমালা', 'ঊর্মিমালী', 'ঊষর', 'ঊষা', 'ঊষ্মা', 'ঊহ, ঊহা', 'ঊহিনী', 'ঊহ্য', 'ঊঢ়']"
ঋ,"['ঋ', 'ঋ-ফলা', 'ঋকঃ', 'ঋক্ষ', 'ঋক্ষমন্ডল', 'ঋক্ষেশ', 'ঋক্থ', 'ঋক্থহর', 'ঋজু', 'ঋজুতা, ঋজুত্ব', 'ঋণ', 'ঋণগ্রস্ত, ঋণী', 'ঋণগ্রাহী', 'ঋণপত্র', 'ঋত', 'ঋতম্ভর', 'ঋতি', 'ঋতু', 'ঋতুপতি, ঋতুরাজ', 'ঋতুমতী', 'ঋতুসন্ধি', 'ঋতুস্নান', 'ঋত্বিক্', 'ঋদ্ধ', 'ঋদ্ধি', 'ঋভু', 'ঋষভ', 'ঋষি', 'ঋষিকল্প', 'ঋষ্ট', 'ঋষ্টি', 'ঋষ্যশৃঙ্গ', 'ঋৃ']"
এ,"['এ', 'এঁচড়', 'এঁটুলি', 'এঁদো, এঁধো', 'এঁড়ে', 'এঃ', 'এই', 'এইসা', 'এওয়াজ, এওজ', 'এক', 'একক', 'এককাঁড়ি', 'এককালীন', 'একগুঁয়ে', 'একঘরে', 'একঘেয়ে', 'একচত্বারিংশ', 'একচর', 'একচর্যা', 'একচুল', 'একচেটিয়া, একচেটে', 'একচোখো', 'একচ্ছত্র', 'একজাত', 'একজোট', 'একজ্বর', 'একটু, একটুকু', 'একতন্ত্রী', 'একতরফ', 'একতা', 'একতারা', 'একতীর্থ', 'একত্ব', 'একদম', 'একদা', 'একদিঠি, একদিঠ', 'একদেব', 'একদেশ', 'একদেশদর্শিতা', 'একদেহ', 'একধা', 'একনবতি', 'একনাগাড়ে', 'একনায়ক', 'একনিষ্ঠ', 'একপক্ষ', 'একপদ', 'একপদী', 'একপদীকরণ', 'একপর্ণা', 'একপাঠী', 'একবাস', 'একবিংশতি', 'একভার্যা', 'একমাতৃক', 'একমাত্রা', 'একমুষ্ঠি', 'একমেটে', 'একর', 'একরার', 'একরারনামা', 'একশিলা', 'একশেষ', 'একষষ্টি', 'একহাত', 'একহারা', 'একাক্ষ', 'একাগ্র', 'একাঘ্নী', 'একাট্ট, এককাট্টা', 'একাত্মা', 'একাদশ', 'একাদিক্রমে', 'একাধার', 'একাধিপতি', 'একান্ত', 'একান্ত সচিব', 'একান্তর', 'একান্নবর্তী', 'একাবলী']"
ঐ,"['ঐ', 'ঐ-যা', 'ঐক', 'ঐকতান', 'ঐকপদিক', 'ঐকপদ্য', 'ঐকবাক্য', 'ঐকমত্য', 'ঐকরাজ্য', 'ঐকল্য', 'ঐকাগ্র', 'ঐকাত্ম্য', 'ঐকান্তিক', 'ঐকার', 'ঐকাহিক', 'ঐক্য', 'ঐক্যতান', 'ঐক্ষব', 'ঐচ্ছিক', 'ঐছন', 'ঐছে', 'ঐতরেয়', 'ঐতিহাসিক', 'ঐতিহ্য', 'ঐন্দ্র', 'ঐন্দ্রজালিক', 'ঐরাবত', 'ঐরূপ', 'ঐশ, ঐশিক, ঐশ্বর, ঐশ্বরিক', 'ঐশ্বর্য', 'ঐশ্বর্যশালী', 'ঐষীক', 'ঐহলৌকিক', 'ঐহিক']"
ও,"['ও', 'ওঁ, ওম্', 'ওঁকার, ওঙ্কার', 'ওঁচলা', 'ওঁচা, ওঁছা', 'ওঁচান, ওঁচানো', 'ওঁৎ', 'ওকার', 'ওকালতনামা', 'ওকালতি', 'ওকালতী', 'ওকি', 'ওক্ত', 'ওকড়া', 'ওখদ', 'ওখড়ান', 'ওগো', 'ওগড়ন', 'ওছি', 'ওজঃ', 'ওজন', 'ওজর', 'ওজস্বল', 'ওজস্বী', 'ওজু', 'ওজোগুণ', 'ওঝা', 'ওটকান, ওটকানো', 'ওটকিস্তি', 'ওটা', 'ওডিকলোন', 'ওড্র', 'ওত, ওঁত', 'ওতপাতা, ওঁতপাতা', 'ওতপ্রোত', 'ওতরানো', 'ওথা', 'ওদন', 'ওদিক', 'ওনাকে', 'ওপার', 'ওপড়ানো', 'ওবা', 'ওম', 'ওমরাহ্, ওমরা', 'ওর', 'ওরফে', 'ওরসা', 'ওরে', 'ওল', 'ওলকপি', 'ওলট কম্বল', 'ওলটপালট', 'ওলন', 'ওলন্দ', 'ওলন্দাজ', 'ওলন২', 'ওলা', 'ওলাইচন্ডী', 'ওলাউঠা', 'ওলাবিবি', 'ওলা২', 'ওলো', 'ওষধি, ওষধী', 'ওষুধ', 'ওষ্ঠ', 'ওষ্ঠপল্লব', 'ওষ্ঠপুট', 'ওষ্ঠাগত', 'ওষ্ঠাগতপ্রাণ', 'ওষ্ঠাধর', 'ওষ্ঠ্য, ঔষ্ঠ্য', 'ওসকানো', 'ওসার', 'ওস্তাগর', 'ওস্তাদ', 'ওস্থান', 'ওহাবী', 'ওহে', 'ওহো']"
